title,year,duration,pg,rating,url
Como Treinar o Seu Dragão,2010,1h 38m,Livre,"8,1",https://www.imdb.com/pt/title/tt0892769/?ref_=chttp_t_198
Relatos Selvagens,2014,2h 2m,14,"8,1",https://www.imdb.com/pt/title/tt3011894/?ref_=chttp_t_199
Em Busca do Ouro,1925,1h 35m,Livre,"8,1",https://www.imdb.com/pt/title/tt0015864/?ref_=chttp_t_200
Bancando o Águia,1924,45m,Passed,"8,2",https://www.imdb.com/pt/title/tt0015324/?ref_=chttp_t_201
Tubarão,1975,2h 4m,14,"8,1",https://www.imdb.com/pt/title/tt0073195/?ref_=chttp_t_202
Mary e Max - Uma Amizade Diferente,2009,1h 32m,12,"8,1",https://www.imdb.com/pt/title/tt0978762/?ref_=chttp_t_203
Ford vs. Ferrari,2019,2h 32m,12,"8,1",https://www.imdb.com/pt/title/tt1950186/?ref_=chttp_t_204
O Franco Atirador,1978,3h 3m,18,"8,1",https://www.imdb.com/pt/title/tt0077416/?ref_=chttp_t_205
A General,1926,1h 18m,Livre,"8,1",https://www.imdb.com/pt/title/tt0017925/?ref_=chttp_t_206
O Salário do Medo,1953,2h 36m,16,"8,1",https://www.imdb.com/pt/title/tt0046268/?ref_=chttp_t_207
A Mulher Faz o Homem,1939,2h 9m,Livre,"8,1",https://www.imdb.com/pt/title/tt0031679/?ref_=chttp_t_208
Sindicato de Ladrões,1954,1h 48m,14,"8,1",https://www.imdb.com/pt/title/tt0047296/?ref_=chttp_t_209
Morangos Silvestres,1957,1h 32m,10,"8,1",https://www.imdb.com/pt/title/tt0050986/?ref_=chttp_t_210
Logan,2017,2h 17m,16,"8,1",https://www.imdb.com/pt/title/tt3315342/?ref_=chttp_t_211
"Rocky, um Lutador",1976,2h,12,"8,1",https://www.imdb.com/pt/title/tt0075148/?ref_=chttp_t_212
O 3º Homem,1949,1h 44m,14,"8,1",https://www.imdb.com/pt/title/tt0041959/?ref_=chttp_t_213
Era uma Vez em Tóquio,1953,2h 17m,10,"8,1",https://www.imdb.com/pt/title/tt0046438/?ref_=chttp_t_214
Spotlight: Segredos Revelados,2015,2h 9m,12,"8,1",https://www.imdb.com/pt/title/tt1895587/?ref_=chttp_t_215
O Grande Lebowski,1998,1h 57m,14,"8,1",https://www.imdb.com/pt/title/tt0118715/?ref_=chttp_t_216
O Exterminador do Futuro,1984,1h 47m,14,"8,1",https://www.imdb.com/pt/title/tt0088247/?ref_=chttp_t_217
O Mistério da Lixeira,2024,2h 21m,N/A,"8,4",https://www.imdb.com/pt/title/tt26548265/?ref_=chttp_t_218
Piratas do Caribe: A Maldição do Pérola Negra,2003,2h 23m,14,"8,1",https://www.imdb.com/pt/title/tt0325980/?ref_=chttp_t_219
O Sétimo Selo,1957,1h 36m,12,"8,1",https://www.imdb.com/pt/title/tt0050976/?ref_=chttp_t_220
O Quarto de Jack,2015,1h 58m,14,"8,1",https://www.imdb.com/pt/title/tt3170832/?ref_=chttp_t_221
O Ódio,1995,1h 38m,16,"8,1",https://www.imdb.com/pt/title/tt0113247/?ref_=chttp_t_222
Jai Bhim,2021,2h 44m,Approved,"8,6",https://www.imdb.com/pt/title/tt15097216/?ref_=chttp_t_223
Hotel Ruanda,2004,2h 1m,14,"8,1",https://www.imdb.com/pt/title/tt0395169/?ref_=chttp_t_224
Platoon,1986,2h,14,"8,1",https://www.imdb.com/pt/title/tt0091763/?ref_=chttp_t_225
